eventurl,imageurl,eventname,description,attendees,day,date,time,timezone,eventtype,attendees_range
https://www.meetup.com/to-nerd-herd/events/303924742/?recId=5ffc6214-b232-45ba-8e85-47703f3959cb&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/2/c/3/f/event_523991327.webp?w=640,~Super Cool Movie Afternoon~ Let's Watch SONIC 1 & 2!,Toronto Nerd Herd,10.0,Saturday,2024-12-07,02:00 PM,EST,Inperson,10-50
https://www.meetup.com/friendsthroughcomedy/events/304429699/?recId=ea013c43-35d1-4a76-84dc-d96c4e2d2ba5&recSource=ml-popular-events-nearby&searchId=a0435745-3c24-44c6-b804-9752785aa970&eventOrigin=find_page$inPerson,https://secure.meetupstatic.com/photos/event/a/a/0/8/event_524563528.webp?w=640,"Holiday Group Pictionary Social Game Night, Holiday Party & Comedy  $100prizes",Friends Through Comedy,11.0,Saturday,2024-12-07,07:00 PM,EST,Inperson,10-50
https://www.meetup.com/toronto-buddhism-101/events/304350928/?recId=b6ce4356-07c3-413f-a093-b3c112e3323a&recSource=ml-popular-events-nearby&searchId=8ac9277d-6670-4fb3-8544-a74bef439d41&eventOrigin=find_page$online,https://secure.meetupstatic.com/photos/event/6/7/f/f/event_518426623.webp?w=640,Learn techniques on how to control your anger,Buddhism 101 - Toronto,6.0,Saturday,2024-12-07,10:00 AM,EST,Online Event,1-10
https://www.meetup.com/get-out-shoot-toronto-meetup/events/304451228/?recId=915abc17-f289-41ae-b478-147a5900b623&recSource=ml-popular-events-nearby&searchId=a0435745-3c24-44c6-b804-9752785aa970&eventOrigin=find_page$inPerson,https://secure.meetupstatic.com/photos/event/e/0/b/2/event_524577522.webp?w=640,Day Trip to Niagara Falls - Winter Festival of Lights - Go train trip,Get Out & Shoot Toronto! A Toronto Photography Community,1.0,Saturday,2024-12-07,08:00 AM,EST,Inperson,1-10
https://www.meetup.com/literary-escapism-book-club/events/303296466/?recId=f4e9e48d-4219-4266-87c1-147c126ecfac&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/a/7/1/f/event_523362783.webp?w=640,Little Women by Louisa May Alcott,Literary Escapism Book Club,24.0,Saturday,2024-12-07,01:00 PM,EST,Online Event,10-50
https://www.meetup.com/torontovegan/events/304749593/?recId=0683506d-db7d-48f5-887b-4bf7ba0240f2&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/a/2/9/event_524882601.webp?w=640,Buddha's Vegan Restarant,Toronto Vegan Meetup,9.0,Saturday,2024-12-07,12:00 PM,EST,Inperson,1-10
https://www.meetup.com/quantum-computing-and-big-data/events/304619102/?recId=0683506d-db7d-48f5-887b-4bf7ba0240f2&recSource=ml-popular-events-nearby-online&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/e/7/4/9/event_524759209.webp?w=640,Twisted Quantum Logic,Quantum Computing and Data Science,26.0,Saturday,2024-12-07,12:00 PM,EST,Inperson,10-50
https://www.meetup.com/tcjele/events/303468775/?recId=2c86b327-be04-4d36-a2a1-a5d51886f406&recSource=ml-popular-events-nearby-offline&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/3/8/1/e/event_512954366.webp?w=640,"Casual hangout w/ 中文, 日本語, & English language exchange at The Frog: A Firkin Pub","TCJELE (中文,日本語,English) Language Exchange",13.0,Saturday,2024-12-07,04:00 PM,EST,Online Event,10-50
https://www.meetup.com/book-discussion-group-byob/events/304323558/?recId=c3a3bbd0-13e0-4b88-840e-ad9888299fa9&recSource=ml-popular-events-nearby&searchId=a0435745-3c24-44c6-b804-9752785aa970&eventOrigin=find_page$inPerson,https://secure.meetupstatic.com/photos/event/2/9/f/6/event_516790742.webp?w=640,"Meet, greet and discuss (in person)",GTA Book club with a twist,2.0,Saturday,2024-12-07,06:00 PM,EST,Inperson,1-10
https://www.meetup.com/toronto-buddhism-101/events/304350928/?recId=3e9ad133-b914-4726-b3a1-4745b859e55f&recSource=ml-popular-events-nearby-online&searchId=38ade142-6a29-4d6a-b615-a64e45d4198b&eventOrigin=find_page$all,https://secure.meetupstatic.com/photos/event/6/7/f/f/event_518426623.webp?w=640,Learn techniques on how to control your anger,Buddhism 101 - Toronto,16.0,Saturday,2024-12-07,10:00 AM,EST,Online Event,10-50
